Ação;Empresa;ROTanC;ROInvC;RPL;ROA;Margem Líquida;Margem Bruta;Margem EBIT;Giro do Ativo Inicial;Alavancagem Financeira;Passivo/Patrimônio Líquido;Preço/Lucro;Preço/VPA;Preço/Receita Líquida;Preço/FCO;Preço/FCF;Preço/EBIT;Preço/NCAV;Preço/Ativo Total;Preço/Capital Giro;EV/EBIT;EV/EBITDA;EV/Receita Líquida;EV/FCF;EV/FCO;EV/Ativo Total;Dividend Yield
LPSB3;LOPES BRASIL;0,24;0,16;0,12;0,06;0,14;0,85;0,25;0,46;1,77;0,77;10,28;1,13;1,42;4,75;6,88;5,80;-1,96;0,64;5,99;5,29;3,70;1,30;6,28;4,33;0,58;0,02
AESB3;AES BRASIL;0,04;0,04;-0,03;-0,01;-0,04;0,31;0,25;0,18;4,76;3,76;-53,33;1,67;1,98;3,28;19,83;7,82;-0,42;0,35;-7,10;21,05;10,30;5,34;53,37;8,83;0,94;0,01
SUZB3;SUZANO S.A.;0,08;0,08;0,01;0,00;0,01;0,39;0,30;0,29;3,78;2,78;316,74;1,72;1,73;4,30;12,87;5,79;-0,78;0,45;2,98;12,57;7,60;3,75;27,92;9,33;0,99;0,02
EZTC3;EZTEC;0,03;0,03;0,06;0,05;0,21;0,32;0,17;0,22;1,27;0,27;11,62;0,65;2,50;-37,21;-35,33;15,03;2,97;0,51;1,32;19,41;16,56;3,22;-45,63;-48,06;0,66;0,02
VULC3;VULCABRAS;0,19;0,18;0,26;0,18;0,17;0,42;0,19;1,06;1,37;0,37;8,98;2,16;1,56;7,54;9,61;8,16;5,97;1,57;2,93;8,07;6,81;1,54;9,50;7,45;1,55;0,18
WIZC3;WIZ CO;2,65;0,47;0,42;0,07;0,14;0,63;0,43;0,51;4,61;3,61;5,47;1,73;0,79;1,77;1,79;1,81;-0,48;0,38;-82,22;2,44;1,97;1,06;2,41;2,39;0,51;0,04
CLSC4;CELESC;0,24;0,14;0,20;0,05;0,06;0,17;0,09;0,89;3,71;2,71;4,88;0,92;0,29;-9,13;-7,87;3,16;-0,34;0,25;-80,74;5,66;4,23;0,53;-14,09;-16,34;0,44;0,08
ALLD3;ALLIED;0,11;0,08;0,10;0,04;0,03;0,12;0,04;1,59;2,28;1,28;4,60;0,44;0,12;0,54;0,54;3,42;-0,75;0,19;0,64;4,28;3,35;0,16;0,67;0,67;0,24;0,27
TEND3;TENDA;0,03;0,05;-0,05;-0,01;-0,01;0,24;0,05;0,71;5,41;4,41;-49,63;1,97;0,56;2,63;2,84;10,93;-0,59;0,36;1,83;17,91;12,68;0,92;4,65;4,31;0,60;0,00
GRND3;GRENDENE;0,07;0,07;0,17;0,15;0,23;0,45;0,14;0,67;1,10;0,10;8,58;1,31;1,94;5,61;6,62;13,68;2,47;1,20;2,08;13,68;11,15;1,94;6,62;5,61;1,20;0,06
CSED3;CRUZEIRO EDU;0,17;0,18;0,09;0,03;0,05;0,49;0,18;0,52;3,27;2,27;9,10;0,81;0,49;2,08;2,60;2,74;-0,37;0,25;17,99;3,75;2,35;0,67;3,56;2,85;0,34;0,10
